X,Y,NAME,ADDRESS,ZIPCODE,WARD,LATITUDE,LONGITUDE,OBJECTID,XCOORD,YCOORD,MAR_ID,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-8572694.78733111,4706761.05381298,Wells Fargo Bank,444 NORTH CAPITOL STREET NW,20001,Ward 6,38.89582237,-77.00982525,177,399147.67,136441.56,279785,BankPt_179,,{70E9B259-7C62-4055-8ABD-6993826FD123},,,GHATCHARD,2024/04/30 23:52:25+00
-8574551.58755657,4706650.14493877,Bank of America,1001 PENNSYLVANIA AVENUE NW,20004,Ward 2,38.89504695,-77.02650516,180,397700.68,136355.77,239376,BankPt_6,,{F24C34F4-0512-46A0-9493-B7B68B467A61},,,GHATCHARD,2024/04/26 20:51:57+00
-8574217.73417542,4706561.70689418,Wells Fargo Bank,801 PENNSYLVANIA AVENUE NW,20004,Ward 2,38.89442863,-77.02350611,181,397960.83,136287.06,279946,BankPt_182,,{CE6E82C0-EFBD-45F6-8385-DEB0C402B571},,,GHATCHARD,2024/05/01 00:06:51+00
-8566002.41035191,4706473.87480448,Citibank,3917 MINNESOTA AVENUE NE,20019,Ward 7,38.89381453,-76.94970662,183,404363.02,136219.83,29135,BankPt_53,,{AC387DB2-6327-43B9-A320-F7C4EEA65675},,,GHATCHARD,2024/04/29 20:10:11+00
-8566121.42031595,4706415.23874457,Chase Bank,3900 MINNESOTA AVENUE NE,20019,Ward 7,38.89340457,-76.95077571,184,404270.3,136174.27,288032,BankPt_79,,{9635D522-7982-498B-8AF1-608289E37CFF},,,GHATCHARD,2024/04/30 00:02:22+00
-8566099.39752559,4706278.31878786,Bank of America,3821 MINNESOTA AVENUE NE,20019,Ward 7,38.89244692,-76.95057787,186,404287.52,136068.01,30095,BankPt_23,,{28FAA2D6-F64C-4F12-9805-05B43AD7938C},,,GHATCHARD,2024/04/26 21:27:49+00
-8566697.05590764,4706784.39330102,Industrial Bank,3443 BENNING ROAD NE,20019,Ward 7,38.89598755,-76.95594622,187,403821.61,136460.81,331447,BankPt_72,,{76E7CAD5-EBE7-40DD-A6B2-5510E8AACE15},,,GHATCHARD,2024/04/29 23:20:17+00
-8571802.1123946,4705549.96416844,Truist Bank,300 PENNSYLVANIA AVENUE SE,20003,Ward 6,38.88735457,-77.00180661,188,399843.26,135501.56,278302,BankPt_145,,{E28B42B4-74F5-40CA-87DE-BDAE76F241C1},,,GHATCHARD,2024/04/30 21:56:10+00
-8571968.04557693,4705534.22778236,Bank of America,201 PENNSYLVANIA AVENUE SE,20003,Ward 6,38.88724418,-77.00329682,189,399713.97,135489.31,52920,BankPt_5,,{584B5BD8-2B25-4CF9-8E29-2B0D3737A1E7},,,GHATCHARD,2024/04/26 21:33:48+00
-8571724.00273487,4705504.75691845,The National Capital Bank of Washington,316 PENNSYLVANIA AVENUE SE,20003,Ward 6,38.88703811,-77.00110455,190,399904.17,135466.43,39317,BankPt_136,,{E13F8C37-9FEA-43B8-8D6D-45514D4A4B24},,,,
-8571923.99624489,4705500.32068652,Wells Fargo Bank,215 PENNSYLVANIA AVENUE SE,20003,Ward 6,38.88700709,-77.00290112,191,399748.3,135462.99,278073,BankPt_181,,{A7562B69-E906-4A38-9B0B-1F54113451B3},,,GHATCHARD,2024/05/01 00:09:30+00
-8571685.49726901,4705475.84747536,Capital One,336 PENNSYLVANIA AVENUE SE,20003,Ward 6,38.8868363,-77.00075865,192,399934.18,135443.99,300706,BankPt_29,,{005CAAE0-1FC3-4034-94C9-BB32751C7BB6},,,GHATCHARD,2024/04/26 23:58:03+00
-8573905.18070363,4705362.75539048,Wells Fargo Bank,600 MARYLAND AVENUE SW,20024,Ward 6,38.88604518,-77.0206984,194,398204.19,135356.41,5831,BankPt_206,,{C9D5297D-9F95-483C-BEA3-AB96B352BE66},,,GHATCHARD,2024/05/01 00:05:08+00
-8571345.69152414,4705309.69191984,Citibank,600 PENNSYLVANIA AVENUE SE,20003,Ward 6,38.88567447,-76.99770612,195,400199.02,135315.02,5839,BankPt_48,,{0B72FE13-6FA4-418A-8290-1B2C006A2D6B},,,GHATCHARD,2024/04/29 20:09:21+00
-8571264.71930315,4705267.21456989,PNC Bank,650 PENNSYLVANIA AVENUE SE,20003,Ward 6,38.88537711,-76.99697873,196,400262.13,135282.05,280033,BankPt_93,,{14042222-9DCB-4249-8D5F-3E8BAF8D6865},,,GHATCHARD,2024/04/30 20:23:24+00
-8572198.85534316,4704041.5647923,Truist Bank,100 M STREET SE,20003,Ward 6,38.87680951,-77.00537201,197,399533.86,134330.99,76100,BankPt_139,,{CB60DBF5-18C8-4920-B012-A42BC7693F8D},,,GHATCHARD,2024/04/30 21:53:24+00
-8572120.70817323,4704024.8336628,Chase Bank,130 M STREET SE,20003,Ward 6,38.87668892,-77.00466797,198,399594.95,134317.6,313515,BankPt_75,,{F0147A72-3BBC-487D-8850-DF72DD150A42},,,GHATCHARD,2024/04/30 00:04:24+00
-8572379.15393178,4703962.84128741,Bank of America,55 M STREET SE,20003,Ward 8,38.87625601,-77.00698987,199,399393.47,134269.52,306664,BankPt_4,,{217E29F0-8F43-4AB5-8067-E9A50B8857EC},,,GHATCHARD,2024/04/26 21:38:31+00
-8567170.04411474,4703053.05279995,Wells Fargo Bank,3200 PENNSYLVANIA AVENUE SE,20020,Ward 7,38.8698932,-76.96019565,200,403454.24,133563.93,287751,BankPt_205,,{C0FA006B-897B-4A1E-AE89-8F880E4A384D},,,GHATCHARD,2024/05/01 00:04:06+00
-8570271.59823662,4702720.92513467,Industrial Bank,1800 MARTIN LUTHER KING JR AVENUE SE,20020,Ward 8,38.86756991,-76.98805738,201,401036.42,133305.38,56153,BankPt_73,,{18BACAFB-7E66-4DD5-9306-82F0D7B4516C},,,,
-8570009.03399567,4702653.26902153,Truist Bank,1340 MARION BARRY AVENUE SE,20020,Ward 8,38.86709671,-76.98569873,202,401241.12,133252.88,338198,BankPt_143,,{402313AC-970A-43AF-8100-668174220A6E},,,GHATCHARD,2024/04/30 21:34:10+00
-8570355.04725703,4702554.84041078,PNC Bank,2000 MARTIN LUTHER KING JR AVENUE SE,20020,Ward 8,38.86640826,-76.98880701,203,400971.38,133176.42,151471,BankPt_110,,{05439DBA-64F2-437E-B089-3AD99BF4AFA6},,,GHATCHARD,2024/04/30 20:36:48+00
-8570401.96083701,4702403.80931972,Bank of America,2100 MARTIN LUTHER KING JR AVENUE SE,20020,Ward 8,38.86535189,-76.98922845,204,400934.82,133059.15,51883,BankPt_24,,{A7E603D4-9864-40FE-BFB7-4B31BD38B1AA},,,GHATCHARD,2024/04/26 21:43:52+00
-8570441.64418619,4702317.97371068,Chase Bank,2200 MARTIN LUTHER KING JR AVENUE SE,20020,Ward 8,38.86475184,-76.98958493,205,400903.89,132992.5,50762,BankPt_80,,{291740F1-ADAA-41D8-BC5F-49E44FB8DF4C},,,GHATCHARD,2024/04/30 00:03:16+00
-8567710.68548682,4701661.92952717,M&T Bank,2865 ALABAMA AVENUE SE,20020,Ward 7,38.86016296,-76.96505232,206,403033.19,132483.63,278292,BankPt_88,,{191734EE-04BD-4497-80F6-4A8467C38A8E},,,GHATCHARD,2024/04/30 00:39:23+00
-8567990.65246598,4701439.44574118,Capital One,2831 ALABAMA AVENUE SE,20020,Ward 7,38.85860667,-76.9675673,208,402814.97,132310.79,278276,BankPt_38,,{C683540D-18A0-4FE9-BCD2-EA57F0C434DE},,,GHATCHARD,2024/04/27 00:41:41+00
-8569523.94071598,4699660.58579014,Wells Fargo Bank,1545 ALABAMA AVENUE SE,20032,Ward 8,38.8461622,-76.98134106,209,401619.77,130929.03,304503,BankPt_207,,{FA61A99D-E2C1-4701-9393-5C456881FC73},,,GHATCHARD,2024/05/01 00:03:04+00
